"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Event"
"1","C024_SD100_uneven/C024_SD100_0001_test.JPG","C024_SD100_0001_test.JPG","854 kB","BTC5HDP",2019-09-20 04:15:16,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired",1
"9","C024_SD100_uneven/C024_SD100_0002_test.JPG","C024_SD100_0002_test.JPG","874 kB","BTC5HDP",2019-09-20 04:15:18,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",1
"11","C024_SD100_uneven/C024_SD100_0004_test.JPG","C024_SD100_0004_test.JPG","840 kB","BTC5HDP",2019-09-21 03:06:11,"2000x1111","42.0 mm","1/20",2.4,400,"Unknown (288)","Auto, Fired",2
"10","C024_SD100_uneven/C024_SD100_0005_test.JPG","C024_SD100_0005_test.JPG","834 kB","BTC5HDP",2019-09-21 03:06:13,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",2
"3","C024_SD100_uneven/C024_SD100_0006_test.JPG","C024_SD100_0006_test.JPG","780 kB","BTC5HDP",2019-09-21 03:06:15,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",2
"4","C024_SD100_uneven/C024_SD100_0007_test.JPG","C024_SD100_0007_test.JPG","791 kB","BTC5HDP",2019-09-21 04:39:02,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",3
"7","C024_SD100_uneven/C024_SD100_0008_test.JPG","C024_SD100_0008_test.JPG","765 kB","BTC5HDP",2019-09-21 04:39:04,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",3
"8","C024_SD100_uneven/C024_SD100_0009_test.JPG","C024_SD100_0009_test.JPG","783 kB","BTC5HDP",2019-09-21 04:39:06,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",3
"2","C024_SD100_uneven/C024_SD100_0011_test.JPG","C024_SD100_0011_test.JPG","843 kB","BTC5HDP",2019-09-21 10:31:30,"2000x1111","42.0 mm","1/103",2.4,100,"Unknown (288)","Auto, Did not fire",4
"12","C024_SD100_uneven/C024_SD100_0012_test.JPG","C024_SD100_0012_test.JPG","839 kB","BTC5HDP",2019-09-21 10:31:32,"2000x1111","42.0 mm","1/108",2.4,100,"Unknown (288)","Auto, Did not fire",4
"13","C024_SD100_uneven/C024_SD100_0013_test.JPG","C024_SD100_0013_test.JPG","842 kB","BTC5HDP",2019-09-22 15:19:50,"2000x1111","42.0 mm","1/52",2.4,100,"Unknown (288)","Auto, Did not fire",5
"6","C024_SD100_uneven/C024_SD100_0014_test.JPG","C024_SD100_0014_test.JPG","838 kB","BTC5HDP",2019-09-22 15:19:52,"2000x1111","42.0 mm","1/52",2.4,100,"Unknown (288)","Auto, Did not fire",5
"5","C024_SD100_uneven/C024_SD100_0015_test.JPG","C024_SD100_0015_test.JPG","840 kB","BTC5HDP",2019-09-22 15:19:54,"2000x1111","42.0 mm","1/52",2.4,100,"Unknown (288)","Auto, Did not fire",5
